Common name;Scientific name;Status;No.;No. Back
Rufous-throated Honeyeater;Conopophila rufogularis;;2;4
Grey Honeyeater;Conopophila whitei;;7;0
Bar-breasted Honeyeater;Ramsayornis fasciatus;;1;4
Brown-backed Honeyeater;Ramsayornis modestus;;23;6
Spiny-cheeked Honeyeater;Acanthagenys rufogularis;;38;35
Little Wattlebird;Anthochaera chrysoptera;;33;28
Western Wattlebird;Anthochaera lunulata;;9;0
Red Wattlebird;Anthochaera carunculata;;34;91
Yellow Wattlebird;Anthochaera paradoxa;;12;4
Regent Honeyeater;Anthochaera phrygia;;3;0
Bridled Honeyeater;Bolemoreus frenatus;;32;7
Eungella Honeyeater;Bolemoreus hindwoodi;;9;0
Yellow-faced Honeyeater;Caligavis chrysops;;34;92
Black-throated Honeyeater;Caligavis subfrenata;;11;4
Obscure Honeyeater;Caligavis obscura;;8;0
Yellow-tufted Honeyeater;Lichenostomus melanops;;16;5
Purple-gaped Honeyeater;Lichenostomus cratitius;;3;0
Bell Miner;Manorina melanophrys;;35;52
Noisy Miner;Manorina melanocephala;;52;133
Yellow-throated Miner;Manorina flavigula;;13;11
Black-eared Miner;Manorina melanotis;;7;0
Makira Honeyeater;Meliarchus sclateri;;28;7
Sooty Melidectes;Melidectes fuscus;;2;0
Gilliard's Melidectes;Melidectes whitemanensis;;0;0
Short-bearded Melidectes;Melidectes nouhuysi;;0;0
Long-bearded Melidectes;Melidectes princeps;;0;0
Cinnamon-browed Melidectes;Melidectes ochromelas;;6;1
Vogelkop Melidectes;Melidectes leucostephes;;9;0
Yellow-browed Melidectes;Melidectes rufocrissalis;;15;4
Huon Melidectes;Melidectes foersteri;;2;0
Belford's Melidectes;Melidectes belfordi;;34;14
Ornate Melidectes;Melidectes torquatus;;13;0
White-fronted Honeyeater;Purnella albifrons;;18;19
White-gaped Honeyeater;Stomiopera unicolor;;10;7
Yellow Honeyeater;Stomiopera flava;;16;16
Varied Honeyeater;Gavicalis versicolor;;12;0
Mangrove Honeyeater;Gavicalis fasciogularis;;5;0
Singing Honeyeater;Gavicalis virescens;;28;29
Yellow-tinted Honeyeater;Ptilotula flavescens;;1;0
Fuscous Honeyeater;Ptilotula fusca;;24;8
Grey-headed Honeyeater;Ptilotula keartlandi;;6;1
Grey-fronted Honeyeater;Ptilotula plumula;;4;1
Yellow-plumed Honeyeater;Ptilotula ornata;;23;13
White-plumed Honeyeater;Ptilotula penicillata;;39;108
Mottle-breasted Honeyeater;Meliphaga mimikae;;0;0
Forest Honeyeater;Meliphaga montana;;1;0
Mountain Honeyeater;Meliphaga orientalis;;7;0
Scrub Honeyeater;Meliphaga albonotata;;3;0
Mimic Honeyeater;Meliphaga analoga;;4;1
Tagula Honeyeater;Meliphaga vicina;;5;0
Graceful Honeyeater;Meliphaga gracilis;;33;55
Elegant Honeyeater;Meliphaga cinereifrons;;1;1
Yellow-gaped Honeyeater;Meliphaga flavirictus;;3;0
White-lined Honeyeater;Meliphaga albilineata;;7;2
Kimberley Honeyeater;Meliphaga fordiana;;5;0
Streak-breasted Honeyeater;Meliphaga reticulata;;8;22
Puff-backed Honeyeater;Meliphaga aruensis;;4;0
Yellow-spotted Honeyeater;Meliphaga notata;;35;57
Lewin's Honeyeater;Meliphaga lewinii;;56;151
Guadalcanal Honeyeater;Guadalcanaria inexpectata;;4;0
Orange-cheeked Honeyeater;Oreornis chrysogenys;;4;0
Yellow-billed Honeyeater;Gymnomyza viridis;;4;1
Giant Honeyeater;Gymnomyza brunneirostris;;16;5
Mao;Gymnomyza samoensis;;31;5
Crow Honeyeater;Gymnomyza aubryana;;3;0
Dark-eared Myza;Myza celebensis;;6;0
White-eared Myza;Myza sarasinorum;;14;1
Bougainville Honeyeater;Stresemannia bougainvillei;;2;0
Barred Honeyeater;Glycifohia undulata;;8;0
White-bellied Honeyeater;Glycifohia notabilis;;1;0
Eastern Bristlebird;Dasyornis brachypterus;;14;1
Western Bristlebird;Dasyornis longirostris;;15;1
Rufous Bristlebird;Dasyornis broadbenti;;6;0
Spotted Pardalote;Pardalotus punctatus;;25;63
Forty-spotted Pardalote;Pardalotus quadragintus;;2;0
Red-browed Pardalote;Pardalotus rubricatus;;15;5
Striated Pardalote;Pardalotus striatus;;54;116
Goldenface;Pachycare flavogriseum;;15;1
Fernwren;Oreoscopus gutturalis;;15;5
Scrubtit;Acanthornis magna;;6;1
Weebill;Smicrornis brevirostris;;22;86
Striated Fieldwren;Calamanthus fuliginosus;;16;0
Western Fieldwren;Calamanthus montanellus;;3;0
Rufous Fieldwren;Calamanthus campestris;;10;0
Chestnut-rumped Heathwren;Hylacola pyrrhopygia;;4;0
Shy Heathwren;Hylacola cauta;;6;0
Pilotbird;Pycnoptilus floccosus;;23;3
Redthroat;Pyrrholaemus brunneus;;13;2
Speckled Warbler;Pyrrholaemus sagittatus;;12;0
Rockwarbler;Origma solitaria;;7;0
Rusty Mouse-warbler;Origma murina;;63;30
Mountain Mouse-warbler;Origma robusta;;35;3
Yellow-throated Scrubwren;Neosericornis citreogularis;;25;13
Bicolored Scrubwren;Aethomyias nigrorufus;;7;0
Pale-billed Scrubwren;Aethomyias spilodera;;3;0
Vogelkop Scrubwren;Aethomyias rufescens;;3;0
Buff-faced Scrubwren;Aethomyias perspicillatus;;3;1
Papuan Scrubwren;Aethomyias papuensis;;25;0
Grey-green Scrubwren;Aethomyias arfakianus;;3;0
Large-billed Scrubwren;Sericornis magnirostra;;33;17
Tropical Scrubwren;Sericornis beccarii;;7;0
Large Scrubwren;Sericornis nouhuysi;;12;1
Spotted Scrubwren;Sericornis maculatus;;14;0
Tasmanian Scrubwren;Sericornis humilis;;34;1
Atherton Scrubwren;Sericornis keri;;8;0
White-browed Scrubwren;Sericornis frontalis;;41;37
Perplexing Scrubwren;Sericornis virgatus;;6;0
Brown Gerygone;Gerygone mouki;;34;46
Grey Gerygone;Gerygone igata;;24;26
Norfolk Gerygone;Gerygone modesta;;2;0
Lord Howe Gerygone;Gerygone insularis;Extinct;0;0
Chatham Gerygone;Gerygone albofrontata;;4;1
Fan-tailed Gerygone;Gerygone flavolateralis;;5;0
Brown-breasted Gerygone;Gerygone ruficollis;;12;7
Golden-bellied Gerygone;Gerygone sulphurea;;48;17
Rufous-sided Gerygone;Gerygone dorsalis;;5;3
Mangrove Gerygone;Gerygone levigaster;;9;3
Plain Gerygone;Gerygone inornata;;11;13
Western Gerygone;Gerygone fusca;;6;4
Dusky Gerygone;Gerygone tenebrosa;;2;3
Large-billed Gerygone;Gerygone magnirostris;;30;8
Biak Gerygone;Gerygone hypoxantha;;4;0
Yellow-bellied Gerygone;Gerygone chrysogaster;;14;10
Green-backed Gerygone;Gerygone chloronota;;13;4
White-throated Gerygone;Gerygone olivacea;;16;14
Fairy Gerygone;Gerygone palpebrosa;;25;20
Mountain Thornbill;Acanthiza katherina;;10;3
Brown Thornbill;Acanthiza pusilla;;66;63
Inland Thornbill;Acanthiza apicalis;;13;2
Tasmanian Thornbill;Acanthiza ewingii;;17;2
New Guinea Thornbill;Acanthiza murina;;5;0
Chestnut-rumped Thornbill;Acanthiza uropygialis;;24;22
Buff-rumped Thornbill;Acanthiza reguloides;;19;2
Western Thornbill;Acanthiza inornata;;9;1
Slender-billed Thornbill;Acanthiza iredalei;;2;0
Yellow-rumped Thornbill;Acanthiza chrysorrhoa;;24;5
Yellow Thornbill;Acanthiza nana;;11;11
Grey Thornbill;Acanthiza cinerea;;3;0
Striated Thornbill;Acanthiza lineata;;17;20
Slaty-backed Thornbill;Acanthiza robustirostris;;6;0
Southern Whiteface;Aphelocephala leucopsis;;10;1
Chestnut-breasted Whiteface;Aphelocephala pectoralis;;3;0
Banded Whiteface;Aphelocephala nigricincta;;3;0
Papuan Babbler;Garritornis isidorei;;17;2
Grey-crowned Babbler;Pomatostomus temporalis;;30;11
Hall's Babbler;Pomatostomus halli;;8;3
White-browed Babbler;Pomatostomus superciliosus;;32;22
Chestnut-crowned Babbler;Pomatostomus ruficeps;;18;8
Papuan Logrunner;Orthonyx novaeguineae;;24;0
Australian Logrunner;Orthonyx temminckii;;25;14
Chowchilla;Orthonyx spaldingii;;31;11
Loria's Satinbird;Cnemophilus loriae;;3;0
Crested Satinbird;Cnemophilus macgregorii;;3;0
Yellow-breasted Satinbird;Loboparadisea sericea;;0;0
Obscure Berrypecker;Melanocharis arfakiana;;7;0
Black Berrypecker;Melanocharis nigra;;8;0
Mid-mountain Berrypecker;Melanocharis longicauda;;6;0
Fan-tailed Berrypecker;Melanocharis versteri;;1;0
Streaked Berrypecker;Melanocharis striativentris;;0;0
Spotted Berrypecker;Rhamphocharis crassirostris;;1;0
Dwarf Longbill;Oedistoma iliolophus;;7;0
Pygmy Longbill;Oedistoma pygmaeum;;6;0
Yellow-bellied Longbill;Toxorhamphus novaeguineae;;28;4
Slaty-headed Longbill;Toxorhamphus poliopterus;;4;0
Tit Berrypecker;Oreocharis arfaki;;14;0
Crested Berrypecker;Paramythia montium;;5;0
North Island Kokako;Callaeas wilsoni;;17;2
South Island Kokako;Callaeas cinereus;Extinct;2;0
North Island Saddleback;Philesturnus rufusater;;18;14
South Island Saddleback;Philesturnus carunculatus;;7;0
Huia;Heteralocha acutirostris;Extinct;0;3
Stitchbird;Notiomystis cincta;;31;9
Papuan Whipbird;Androphobus viridis;;1;0
Eastern Whipbird;Psophodes olivaceus;;81;159
Black-throated Whipbird;Psophodes nigrogularis;;13;1
White-bellied Whipbird;Psophodes leucogaster;;2;0
Chirruping Wedgebill;Psophodes cristatus;;8;2
Chiming Wedgebill;Psophodes occidentalis;;6;1
Spotted Jewel-babbler;Ptilorrhoa leucosticta;;25;2
Blue Jewel-babbler;Ptilorrhoa caerulescens;;36;1
Brown-headed Jewel-babbler;Ptilorrhoa geislerorum;;5;1
Chestnut-backed Jewel-babbler;Ptilorrhoa castanonota;;29;0
Spotted Quail-thrush;Cinclosoma punctatum;;17;0
Chestnut Quail-thrush;Cinclosoma castanotum;;7;0
Copperback Quail-thrush;Cinclosoma clarum;;4;0
Cinnamon Quail-thrush;Cinclosoma cinnamomeum;;3;0
Nullarbor Quail-thrush;Cinclosoma alisteri;;0;0
Chestnut-breasted Quail-thrush;Cinclosoma castaneothorax;;6;0
Western Quail-thrush;Cinclosoma marginatum;;8;0
Painted Quail-thrush;Cinclosoma ajax;;16;3
Rwenzori Batis;Batis diops;;15;3
Margaret's Batis;Batis margaritae;;6;0
Forest Batis;Batis mixta;;4;0
Reichenow's Batis;Batis reichenowi;;0;0
Dark Batis;Batis crypta;;73;32
Cape Batis;Batis capensis;;67;47
Woodward's Batis;Batis fratrum;;12;4
Chinspot Batis;Batis molitor;;96;81
Senegal Batis;Batis senegalensis;;14;8
Grey-headed Batis;Batis orientalis;;17;2
Pale Batis;Batis soror;;10;3
Pririt Batis;Batis pririt;;47;23
Eastern Black-headed Batis;Batis minor;;9;0
Western Black-headed Batis;Batis erlangeri;;19;0
Pygmy Batis;Batis perkeo;;15;1
Angolan Batis;Batis minulla;;0;0
Gabon Batis;Batis minima;;3;1
Ituri Batis;Batis ituriensis;;11;0
Fernando Po Batis;Batis poensis;;1;0
White-tailed Shrike;Lanioturdus torquatus;;11;0
West African Wattle-eye;Platysteira hormophora;;12;6
Chestnut Wattle-eye;Platysteira castanea;;22;3
White-spotted Wattle-eye;Platysteira tonsa;;0;0
Banded Wattle-eye;Platysteira laticincta;;8;1
Black-throated Wattle-eye;Platysteira peltata;;19;5
White-fronted Wattle-eye;Platysteira albifrons;;3;0
Brown-throated Wattle-eye;Platysteira cyanea;;99;56
Yellow-bellied Wattle-eye;Platysteira concreta;;11;2
Red-cheeked Wattle-eye;Platysteira blissetti;;23;3
Black-necked Wattle-eye;Platysteira chalybea;;2;5
Jameson's Wattle-eye;Platysteira jamesoni;;15;2
Fiery-breasted Bushshrike;Malaconotus cruentus;;3;0
Monteiro's Bushshrike;Malaconotus monteiri;;0;0
Grey-headed Bushshrike;Malaconotus blanchoti;;91;21
Lagden's Bushshrike;Malaconotus lagdeni;;0;0
Green-breasted Bushshrike;Malaconotus gladiator;;4;0
Uluguru Bushshrike;Malaconotus alius;;9;0
Mount Kupe Bushshrike;Chlorophoneus kupeensis;;2;0
Many-colored Bushshrike;Chlorophoneus multicolor;;6;3
Black-fronted Bushshrike;Chlorophoneus nigrifrons;;67;8
Olive Bushshrike;Chlorophoneus olivaceus;;61;22
Bocage's Bushshrike;Chlorophoneus bocagei;;22;1
Orange-breasted Bushshrike;Chlorophoneus sulfureopectus;;116;31
Gorgeous Bushshrike;Telophorus viridis;;35;2
Doherty's Bushshrike;Telophorus dohertyi;;29;2
Bokmakierie;Telophorus zeylonus;;144;40
Rosy-patched Bushshrike;Telophorus cruentus;;39;1
Marsh Tchagra;Bocagia minuta;;4;0
Brown-crowned Tchagra;Tchagra australis;;57;24
Three-streaked Tchagra;Tchagra jamesi;;3;0
Southern Tchagra;Tchagra tchagra;;18;2
Black-crowned Tchagra;Tchagra senegalus;;136;66
Sabine's Puffback;Dryoscopus sabini;;10;4
Pink-footed Puffback;Dryoscopus angolensis;;6;0
Red-eyed Puffback;Dryoscopus senegalensis;;15;2
Black-backed Puffback;Dryoscopus cubla;;168;63
Northern Puffback;Dryoscopus gambensis;;27;5
Pringle's Puffback;Dryoscopus pringlii;;12;0
Lowland Sooty Boubou;Laniarius leucorhynchus;;17;3
Mountain Sooty Boubou;Laniarius poensis;;12;9
Albertine Sooty Boubou;Laniarius holomelas;;16;0
Willard's Sooty Boubou;Laniarius willardi;;9;1
Flleborn's Boubou;Laniarius fuelleborni;;141;28
Slate-colored Boubou;Laniarius funebris;;69;35
Lhder's Bushshrike;Laniarius luehderi;;31;7
Braun's Bushshrike;Laniarius brauni;;1;0
Gabela Bushshrike;Laniarius amboimensis;;1;0
Red-naped Bushshrike;Laniarius ruficeps;;15;0
Black Boubou;Laniarius nigerrimus;;3;0
Ethiopian Boubou;Laniarius aethiopicus;;19;1
Tropical Boubou;Laniarius major;;145;131
East Coast Boubou;Laniarius sublacteus;;25;0
Southern Boubou;Laniarius ferrugineus;;103;141
Swamp Boubou;Laniarius bicolor;;18;8
Turati's Boubou;Laniarius turatii;;4;2
Yellow-crowned Gonolek;Laniarius barbarus;;66;98
Papyrus Gonolek;Laniarius mufumbiri;;19;2
Black-headed Gonolek;Laniarius erythrogaster;;33;21
Crimson-breasted Shrike;Laniarius atrococcineus;;41;18
Yellow-breasted Boubou;Laniarius atroflavus;;22;18
Brubru;Nilaus afer;;95;34
Yellow-breasted Boatbill;Machaerirhynchus flaviventer;;32;17
Black-breasted Boatbill;Machaerirhynchus nigripectus;;19;1
Red-tailed Vanga;Calicalicus madagascariensis;;32;9
Red-shouldered Vanga;Calicalicus rufocarpalis;;15;3
Hook-billed Vanga;Vanga curvirostris;;21;2
Bernier's Vanga;Oriolia bernieri;;13;0
Lafresnaye's Vanga;Xenopirostris xenopirostris;;9;0
Van Dam's Vanga;Xenopirostris damii;;18;0
Pollen's Vanga;Xenopirostris polleni;;12;4
Sickle-billed Vanga;Falculea palliata;;16;0
White-headed Vanga;Artamella viridis;;8;2
Chabert Vanga;Leptopterus chabert;;4;0
Blue Vanga;Cyanolanius madagascarinus;;12;1
Rufous Vanga;Schetba rufa;;15;0
Helmet Vanga;Euryceros prevostii;;7;1
Tylas Vanga;Tylas eduardi;;13;2
Nuthatch Vanga;Hypositta corallirostris;;4;0
Dark Newtonia;Newtonia amphichroa;;23;1
Common Newtonia;Newtonia brunneicauda;;35;31
Archbold's Newtonia;Newtonia archboldi;;12;1
Red-tailed Newtonia;Newtonia fanovanae;;10;0
Ward's Flycatcher;Pseudobias wardi;;5;0
Crossley's Vanga;Mystacornis crossleyi;;23;0
White-crested Helmetshrike;Prionops plumatus;;32;0
Grey-crested Helmetshrike;Prionops poliolophus;;6;0
Yellow-crested Helmetshrike;Prionops alberti;;0;0
Red-billed Helmetshrike;Prionops caniceps;;9;3
Rufous-bellied Helmetshrike;Prionops rufiventris;;1;0
Retz's Helmetshrike;Prionops retzii;;22;1
Gabela Helmetshrike;Prionops gabela;;0;0
Chestnut-fronted Helmetshrike;Prionops scopifrons;;4;4
Bar-winged Flycatcher-shrike;Hemipus picatus;;32;4
Black-winged Flycatcher-shrike;Hemipus hirundinaceus;;19;3
Large Woodshrike;Tephrodornis virgatus;;37;2
Malabar Woodshrike;Tephrodornis sylvicola;;11;2
Common Woodshrike;Tephrodornis pondicerianus;;26;1
Sri Lanka Woodshrike;Tephrodornis affinis;;1;0
Rufous-winged Philentoma;Philentoma pyrhoptera;;40;13
Maroon-breasted Philentoma;Philentoma velata;;36;3
African Shrike-flycatcher;Megabyas flammulatus;;12;0
Black-and-white Shrike-flycatcher;Bias musicus;;23;3
Bornean Bristlehead;Pityriasis gymnocephala;;35;2
Ashy Woodswallow;Artamus fuscus;;32;1
White-breasted Woodswallow;Artamus leucorynchus;;27;8
Fiji Woodswallow;Artamus mentalis;;2;0
Ivory-backed Woodswallow;Artamus monachus;;3;0
Great Woodswallow;Artamus maximus;;14;2
White-backed Woodswallow;Artamus insignis;;1;0
Masked Woodswallow;Artamus personatus;;6;6
White-browed Woodswallow;Artamus superciliosus;;14;24
Black-faced Woodswallow;Artamus cinereus;;8;1
Dusky Woodswallow;Artamus cyanopterus;;16;11
Little Woodswallow;Artamus minor;;5;1
Lowland Peltops;Peltops blainvillii;;5;0
Mountain Peltops;Peltops montanus;;19;0
Black Butcherbird;Melloria quoyi;;62;32
Australian Magpie;Gymnorhina tibicen;;62;185
Grey Butcherbird;Cracticus torquatus;;65;126
Silver-backed Butcherbird;Cracticus argenteus;;3;0
Black-backed Butcherbird;Cracticus mentalis;;7;3
Pied Butcherbird;Cracticus nigrogularis;;63;97
Hooded Butcherbird;Cracticus cassicus;;34;22
Tagula Butcherbird;Cracticus louisiadensis;;1;0
Pied Currawong;Strepera graculina;;66;134
Black Currawong;Strepera fuliginosa;;9;2
Grey Currawong;Strepera versicolor;;31;5
Mottled Berryhunter;Rhagologus leucostigma;;5;0
Common Iora;Aegithina tiphia;;214;61
Marshall's Iora;Aegithina nigrolutea;;7;0
Green Iora;Aegithina viridissima;;23;20
Great Iora;Aegithina lafresnayei;;9;1
White-bellied Minivet;Pericrocotus erythropygius;;10;0
Jerdon's Minivet;Pericrocotus albifrons;;1;0
Fiery Minivet;Pericrocotus igneus;;11;0
Small Minivet;Pericrocotus cinnamomeus;;41;7
Grey-chinned Minivet;Pericrocotus solaris;;35;10
Sunda Minivet;Pericrocotus miniatus;;15;0
Short-billed Minivet;Pericrocotus brevirostris;;7;1
Little Minivet;Pericrocotus lansbergei;;5;0
Long-tailed Minivet;Pericrocotus ethologus;;39;16
Orange Minivet;Pericrocotus flammeus;;21;1
Scarlet Minivet;Pericrocotus speciosus;;78;7
Ashy Minivet;Pericrocotus divaricatus;;90;40
Ryukyu Minivet;Pericrocotus tegimae;;14;1
Swinhoe's Minivet;Pericrocotus cantonensis;;7;2
Rosy Minivet;Pericrocotus roseus;;7;6
Madagascan Cuckooshrike;Ceblepyris cinereus;;6;0
Comoros Cuckooshrike;Ceblepyris cucullatus;;2;0
Grauer's Cuckooshrike;Ceblepyris graueri;;0;0
White-breasted Cuckooshrike;Ceblepyris pectoralis;;14;0
Grey Cuckooshrike;Ceblepyris caesius;;20;5
Stout-billed Cuckooshrike;Coracina caeruleogrisea;;5;1
Hooded Cuckooshrike;Coracina longicauda;;18;0
Cerulean Cuckooshrike;Coracina temminckii;;7;0
Pied Cuckooshrike;Coracina bicolor;;19;1
Ground Cuckooshrike;Coracina maxima;;1;0
Barred Cuckooshrike;Coracina lineata;;14;4
Black-faced Cuckooshrike;Coracina novaehollandiae;;23;20
Boyer's Cuckooshrike;Coracina boyeri;;13;3
Buru Cuckooshrike;Coracina fortis;;2;0
Wallacean Cuckooshrike;Coracina personata;;16;0
North Melanesian Cuckooshrike;Coracina welchmani;;6;0
South Melanesian Cuckooshrike;Coracina caledonica;;2;2
Bar-bellied Cuckooshrike;Coracina striata;;22;0
Javan Cuckooshrike;Coracina javensis;;10;0
Large Cuckooshrike;Coracina macei;;60;7
Andaman Cuckooshrike;Coracina dobsoni;;3;0
Slaty Cuckooshrike;Coracina schistacea;;3;0
White-rumped Cuckooshrike;Coracina leucopygia;;3;0
Sunda Cuckooshrike;Coracina larvata;;9;0
White-bellied Cuckooshrike;Coracina papuensis;;44;22
Manus Cuckooshrike;Coracina ingens;;0;0
Moluccan Cuckooshrike;Coracina atriceps;;6;0
Black Cuckooshrike;Campephaga flava;;23;9
Red-shouldered Cuckooshrike;Campephaga phoenicea;;3;0
Petit's Cuckooshrike;Campephaga petiti;;1;0
Purple-throated Cuckooshrike;Campephaga quiscalina;;23;5
Western Wattled Cuckooshrike;Lobotos lobatus;;0;0
Eastern Wattled Cuckooshrike;Lobotos oriolinus;;0;0
Golden Cuckooshrike;Campochaera sloetii;;19;0
McGregor's Cuckooshrike;Malindangia mcgregori;;7;0
New Caledonian Cuckooshrike;Edolisoma anale;;2;0
White-winged Cuckooshrike;Edolisoma ostentum;;11;0
Blackish Cuckooshrike;Edolisoma coerulescens;;10;0
Black-bellied Cuckooshrike;Edolisoma montanum;;17;0
Pale-shouldered Cicadabird;Edolisoma dohertyi;;6;0
Kai Cicadabird;Edolisoma dispar;;6;0
Grey-headed Cuckooshrike;Edolisoma schisticeps;;8;2
Pale Cicadabird;Edolisoma ceramense;;5;0
Black-bibbed Cicadabird;Edolisoma mindanense;;2;0
Makira Cicadabird;Edolisoma salomonis;;13;2
Solomons Cuckooshrike;Edolisoma holopolium;;7;0
Sulawesi Cicadabird;Edolisoma morio;;10;0
Black-shouldered Cicadabird;Edolisoma incertum;;3;0
Grey-capped Cicadabird;Edolisoma remotum;;13;0
Sula Cicadabird;Edolisoma sula;;0;0
Common Cicadabird;Edolisoma tenuirostre;;40;7
Admiralty Cicadabird;Edolisoma admiralitatis;;1;0
Palau Cicadabird;Edolisoma monacha;;2;0
Yap Cicadabird;Edolisoma nesiotis;;1;0
Pohnpei Cicadabird;Edolisoma insperatum;;2;0
Black Cicadabird;Edolisoma melas;;9;3
Halmahera Cuckooshrike;Edolisoma parvulum;;9;1
Pygmy Cuckooshrike;Celebesica abbotti;;4;0
Blue Cuckooshrike;Cyanograucalus azureus;;4;4
Polynesian Triller;Lalage maculosa;;14;5
Samoan Triller;Lalage sharpei;;2;0
White-shouldered Triller;Lalage sueurii;;19;3
Long-tailed Triller;Lalage leucopyga;;14;7
White-winged Triller;Lalage tricolor;;8;4
Rufous-bellied Triller;Lalage aurea;;18;1
Black-browed Triller;Lalage atrovirens;;18;1
White-browed Triller;Lalage moesta;;8;1
Varied Triller;Lalage leucomela;;26;11
Mussau Triller;Lalage conjuncta;;0;0
Black-and-white Triller;Lalage melanoleuca;;3;0
Pied Triller;Lalage nigra;;25;2
White-rumped Triller;Lalage leucopygialis;;9;0
Black-winged Cuckooshrike;Lalage melaschistos;;27;6
Black-headed Cuckooshrike;Lalage melanoptera;;26;2
Indochinese Cuckooshrike;Lalage polioptera;;8;0
Lesser Cuckooshrike;Lalage fimbriata;;29;6
Mauritius Cuckooshrike;Lalage typica;;13;0
Reunion Cuckooshrike;Lalage newtoni;;15;0
Yellowhead;Mohoua ochrocephala;;19;3
Whitehead;Mohoua albicilla;;26;41
Pipipi;Mohoua novaeseelandiae;;14;2
Varied Sittella;Daphoenositta chrysoptera;;10;1
Papuan Sittella;Daphoenositta papuensis;;3;0
Black Sittella;Daphoenositta miranda;;3;0
Wattled Ploughbill;Eulacestoma nigropectus;;12;2
Rufous-naped Bellbird;Aleadryas rufinucha;;28;1
Piping Bellbird;Ornorectes cristatus;;11;1
Crested Bellbird;Oreoica gutturalis;;19;22
Crested Shriketit;Falcunculus frontatus;;18;2
Maroon-backed Whistler;Coracornis raveni;;11;0
Sangihe Shrikethrush;Coracornis sanghirensis;;1;0
Black Pitohui;Melanorectes nigrescens;;18;1
Olive Whistler;Pachycephala olivacea;;31;3
Red-lored Whistler;Pachycephala rufogularis;;4;0
Gilbert's Whistler;Pachycephala inornata;;22;5
Mangrove Whistler;Pachycephala cinerea;;64;2
Green-backed Whistler;Pachycephala albiventris;;2;0
White-vented Whistler;Pachycephala homeyeri;;25;0
Island Whistler;Pachycephala phaionota;;0;0
Rusty Whistler;Pachycephala hyperythra;;5;0
Brown-backed Whistler;Pachycephala modesta;;1;0
Yellow-bellied Whistler;Pachycephala philippinensis;;20;3
Sulphur-vented Whistler;Pachycephala sulfuriventer;;25;1
Bornean Whistler;Pachycephala hypoxantha;;36;2
Vogelkop Whistler;Pachycephala meyeri;;5;0
Grey Whistler;Pachycephala simplex;;44;24
Fawn-breasted Whistler;Pachycephala orpheus;;10;17
Sclater's Whistler;Pachycephala soror;;10;3
Rusty-breasted Whistler;Pachycephala fulvotincta;;27;5
Yellow-throated Whistler;Pachycephala macrorhyncha;;29;0
Baliem Whistler;Pachycephala balim;;5;0
Black-chinned Whistler;Pachycephala mentalis;;24;14
Australian Golden Whistler;Pachycephala pectoralis;;93;76
Western Whistler;Pachycephala occidentalis;;9;0
Bismarck Whistler;Pachycephala citreogaster;;5;1
Oriole Whistler;Pachycephala orioloides;;44;14
Louisiade Whistler;Pachycephala collaris;;2;0
Rennell Whistler;Pachycephala feminina;;2;0
Melanesian Whistler;Pachycephala chlorura;;6;4
New Caledonian Whistler;Pachycephala caledonica;;5;1
Fiji Whistler;Pachycephala vitiensis;;36;8
Temotu Whistler;Pachycephala vanikorensis;;2;0
Tongan Whistler;Pachycephala jacquinoti;;20;1
Mangrove Golden Whistler;Pachycephala melanura;;11;3
Samoan Whistler;Pachycephala flavifrons;;5;0
Hooded Whistler;Pachycephala implicata;;6;2
Bougainville Whistler;Pachycephala richardsi;;5;1
Bare-throated Whistler;Pachycephala nudigula;;34;4
Lorentz's Whistler;Pachycephala lorentzi;;5;0
Regent Whistler;Pachycephala schlegelii;;36;9
Golden-backed Whistler;Pachycephala aurea;;0;0
Rufous Whistler;Pachycephala rufiventris;;85;126
Black-headed Whistler;Pachycephala monacha;;17;0
White-bellied Whistler;Pachycephala leucogastra;;5;1
Wallacean Whistler;Pachycephala arctitorquis;;12;6
Drab Whistler;Pachycephala griseonota;;19;0
Cinnamon-breasted Whistler;Pachycephala johni;;2;0
White-breasted Whistler;Pachycephala lanioides;;12;1
Morningbird;Pachycephala tenebrosa;;2;1
White-bellied Pitohui;Pseudorectes incertus;;3;0
Rusty Pitohui;Pseudorectes ferrugineus;;21;1
Bower's Shrikethrush;Colluricincla boweri;;25;9
Sooty Shrikethrush;Colluricincla tenebrosa;;0;0
Little Shrikethrush;Colluricincla megarhyncha;;99;60
Grey Shrikethrush;Colluricincla harmonica;;113;148
Sandstone Shrikethrush;Colluricincla woodwardi;;2;2
Yellow-billed Shrike;Corvinella corvina;;35;12
Magpie Shrike;Urolestes melanoleucus;;39;4
Northern White-crowned Shrike;Eurocephalus ruppelli;;16;2
Southern White-crowned Shrike;Eurocephalus anguitimens;;13;3
Tiger Shrike;Lanius tigrinus;;15;1
Souza's Shrike;Lanius souzae;;10;0
Bull-headed Shrike;Lanius bucephalus;;77;42
Brown Shrike;Lanius cristatus;;128;11
Red-backed Shrike;Lanius collurio;;381;78
Isabelline Shrike;Lanius isabellinus;;28;9
Red-tailed Shrike;Lanius phoenicuroides;;24;0
Burmese Shrike;Lanius collurioides;;25;0
Emin's Shrike;Lanius gubernator;;0;0
Bay-backed Shrike;Lanius vittatus;;19;0
Long-tailed Shrike;Lanius schach;;98;16
Grey-backed Shrike;Lanius tephronotus;;31;1
Mountain Shrike;Lanius validirostris;;5;0
Mackinnon's Shrike;Lanius mackinnoni;;8;0
